Customer ID,Frequency,Monetary,Recency,Cluster
12346.0,15,-51.739999999999995,66,0
12347.0,2,1323.32,2,0
12348.0,1,222.15999999999997,73,0
12349.0,4,2646.9900000000002,42,0
12351.0,1,300.93,10,0
12352.0,2,343.8,10,0
12353.0,1,317.76,43,0
12355.0,1,488.21000000000004,202,1
12356.0,3,3560.3,15,0
12357.0,2,12079.99,23,0
12358.0,3,2719.01,10,0
12359.0,8,2469.36,60,0
12360.0,6,1550.83,14,0
12361.0,3,321.35,97,0
12362.0,1,130.0,373,1
12366.0,1,500.24,268,1
12368.0,1,917.7,263,1
12369.0,3,1791.15,48,0
12370.0,3,774.62,259,1
12371.0,3,2179.42,44,0
12373.0,2,763.0500000000001,259,1
12374.0,3,2246.29,56,0
12376.0,2,503.15,24,0
12377.0,2,1798.2,16,0
12378.0,1,1407.7,197,1
12379.0,2,767.98,57,0
12380.0,10,5167.4400000000005,16,0
12382.0,1,-18.38,317,1
12385.0,2,1923.4,14,0
12386.0,1,258.90000000000003,1,0
12387.0,1,143.94,50,0
12388.0,2,1120.45,80,0
12389.0,3,1433.33,37,0
12391.0,6,2259.58,99,0
12392.0,1,234.75000000000003,226,1
12393.0,3,794.15,17,0
12395.0,4,2048.64,6,0
12396.0,1,931.4300000000001,309,1
12399.0,3,853.65,20,0
12400.0,1,205.25,49,0
12402.0,6,1018.5500000000001,27,0
12403.0,1,591.6600000000001,156,1
12404.0,1,63.24,317,1
12406.0,4,2791.46,23,0
12408.0,5,1437.07,14,0
12409.0,6,12033.54,55,0
12410.0,1,320.38,137,0
12411.0,1,346.9,44,0
12412.0,5,1354.15,37,0
12413.0,1,241.35,37,0
12414.0,5,130.0,98,0
12415.0,7,19543.84,10,0
12416.0,1,202.56,291,1
12417.0,15,3109.91,36,0
12418.0,4,1348.37,48,0
12419.0,2,503.01,20,0
12421.0,3,286.56,50,0
12422.0,18,3315.79,29,0
12423.0,2,763.08,22,0
12424.0,5,1528.82,57,0
12425.0,2,903.61,65,0
12426.0,2,728.6800000000001,281,1
12427.0,1,303.5,6,0
12429.0,6,3685.11,0,0
12431.0,16,4303.02,8,0
12433.0,6,7052.99,1,0
12434.0,1,297.29,16,0
12435.0,4,6096.04,31,0
12437.0,28,7498.1900000000005,28,3
12439.0,3,1089.18,317,1
12440.0,3,768.15,92,0
12441.0,1,173.55,1,0
12443.0,1,485.31,367,1
12445.0,2,293.08000000000004,35,0
12449.0,2,768.6,45,0
12450.0,5,469.07,34,0
12451.0,4,3613.01,98,0
12454.0,7,4292.71,30,0
12455.0,4,3413.09,80,0
12457.0,2,554.53,52,0
12458.0,2,830.09,62,0
12459.0,1,454.36,240,1
12460.0,1,326.65,91,0
12466.0,1,56.73,317,1
12467.0,2,0.0,21,0
12468.0,7,2900.51,65,0
12469.0,2,3070.54,157,1
12470.0,1,211.95,324,1
12471.0,81,19197.49,7,3
